"from_id","to_id","relation_type","relation_description","source_id","last_verified"
"CL-SUB-SEG","CL-MIN-SEG","depends_on","Subsecretaría de Seguridad Pública integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-SPD","CL-MIN-SEG","depends_on","Subsecretaría de Prevención del Delito integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-HAC","CL-MIN-HAC","depends_on","Subsecretaría de Hacienda integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-DEF","CL-MIN-DEF","depends_on","Subsecretaría de Defensa integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-FFAA","CL-MIN-DEF","depends_on","Subsecretaría para las Fuerzas Armadas integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-TRANS","CL-MIN-MTT","depends_on","Subsecretaría de Transportes integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-SUBTEL","CL-MIN-MTT","depends_on","Subsecretaría de Telecomunicaciones integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-INT","CL-MIN-INT","depends_on","Subsecretaría del Interior integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-SUBDERE","CL-MIN-INT","depends_on","Subsecretaría de Desarrollo Regional y Administrativo integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-SALPUB","CL-MIN-SAL","depends_on","Subsecretaría de Salud Pública integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-REDES","CL-MIN-SAL","depends_on","Subsecretaría de Redes Asistenciales integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-AGR","CL-MIN-AGR","depends_on","Subsecretaría de Agricultura integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-DEP","CL-MIN-DEP","depends_on","Subsecretaría del Deporte integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-SEGEGOB","CL-MIN-SEGEGOB","depends_on","Subsecretaría General de Gobierno integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-MOP","CL-MIN-MOP","depends_on","Subsecretaría de Obras Públicas integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-MMEG","CL-MIN-MMEG","depends_on","Subsecretaría de la Mujer y la Equidad de Género integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-CTCI","CL-MIN-CTCI","depends_on","Subsecretaría de Ciencia, Tecnología, Conocimiento e Innovación integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-MINVU","CL-MIN-MINVU","depends_on","Subsecretaría de Vivienda y Urbanismo integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-TRAB","CL-MIN-MINTRAB","depends_on","Subsecretaría del Trabajo integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-PREV","CL-MIN-MINTRAB","depends_on","Subsecretaría de Previsión Social integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-MMA","CL-MIN-MMA","depends_on","Subsecretaría del Medio Ambiente integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-ENER","CL-MIN-ENER","depends_on","Subsecretaría de Energía integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-SERSOC","CL-MIN-MDSF","depends_on","Subsecretaría de Servicios Sociales integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-EVSOC","CL-MIN-MDSF","depends_on","Subsecretaría de Evaluación Social integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-NINEZ","CL-MIN-MDSF","depends_on","Subsecretaría de la Niñez integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-SEGPRES","CL-MIN-SEGPRES","depends_on","Subsecretaría General de la Presidencia integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-JUST","CL-MIN-JUST","depends_on","Subsecretaría de Justicia integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-DDHH","CL-MIN-JUST","depends_on","Subsecretaría de Derechos Humanos integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-RREE","CL-MIN-RREE","depends_on","Subsecretaría de Relaciones Exteriores integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-SUBREI","CL-MIN-RREE","depends_on","Subsecretaría de Relaciones Económicas Internacionales integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-CULT","CL-MIN-CULT","depends_on","Subsecretaría de las Culturas y las Artes integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
